name,lat,lon,2023_08_01,2023_08_02,2023_08_03,2023_08_04,2023_08_05,2023_08_06,2023_08_07,2023_08_08,2023_08_09,2023_08_10,2023_08_11,2023_08_12,2023_08_13,2023_08_14,2023_08_15,2023_08_16,2023_08_17,2023_08_18,2023_08_19,2023_08_20
p_37.110577_140.209222,37.110577,140.209222,,,,,,,,,,,,,0.12,,,,,,,
p_37.110703_140.219170,37.110703,140.21917,,,,,,,,,,,,,0.11142857142857143,,,,,,,
p_37.110732_140.215295,37.110732,140.215295,,,,,,,,,,,,,0.10857142857142857,,,,,,,
p_37.110898_140.218872,37.110898,140.218872,,,,,,,,,,,,,0.10571428571428572,,,,,,,
p_37.110923_140.208493,37.110923,140.208493,,,,,,,,,,,,,0.10857142857142857,,,,,,,
p_37.110953_140.215033,37.110953,140.215033,,,,,,,,,,,,,0.10857142857142857,,,,,,,
p_37.110982_140.218167,37.110982,140.218167,,,,,,,,,,,,,0.10571428571428572,,,,,,,
p_37.111027_140.218493,37.111027,140.218493,,,,,,,,,,,,,0.10571428571428572,,,,,,,
p_37.111138_140.214780,37.111138,140.21478,,,,,,,,,,,,,0.10857142857142857,,,,,,,
p_37.111257_140.207782,37.111257,140.207782,,,,,,,,,,,,,0.11142857142857143,,,,,,,
p_37.111348_140.214495,37.111348,140.214495,,,,,,,,,,,,,0.11714285714285715,,,,,,,
p_37.111580_140.207057,37.11158,140.207057,,,,,,,,,,,,,0.11142857142857143,,,,,,,
p_37.111627_140.214180,37.111627,140.21418,,,,,,,,,,,,,0.12285714285714286,,,,,,,
p_37.111812_140.213865,37.111812,140.213865,,,,,,,,,,,,,0.12285714285714286,,,,,,,
p_37.111985_140.213510,37.111985,140.21351,,,,,,,,,,,,,0.12,,,,,,,
p_37.112128_140.213140,37.112128,140.21314,,,,,,,,,,,,,0.14,,,,,,,
p_37.112392_140.212828,37.112392,140.212828,,,,,,,,,,,,,0.14,,,,,,,
p_37.112760_140.212617,37.11276,140.212617,,,,,,,,,,,,,0.13714285714285715,,,,,,,
